id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote
512,Stellar,XLM,stellar,582,2014-08-05T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'decentralized-exchange-dex-token', 'smart-contracts', 'hashkey-capital-portfolio']",50001806812.0,28732247614.144382,50001787007.70906,False,,35,,,,2024-03-26T17:56:00.000Z,"{'USD': {'price': 0.137171020803676, 'volume_24h': 130101668.48626816, 'volume_change_24h': 32.653, 'percent_change_1h': 0.53821478, 'percent_change_24h': -0.69906936, 'percent_change_7d': 8.0430292, 'percent_change_30d': 18.39961922, 'percent_change_60d': 19.07783465, 'percent_change_90d': 4.11092678, 'market_cap': 3941231735.216169, 'market_cap_dominance': 0.1491, 'fully_diluted_market_cap': 6858798882.43, 'tvl': None, 'last_updated': '2024-03-26T17:56:00.000Z'}}"
3635,Cronos,CRO,cronos,232,2018-12-14T00:00:00.000Z,"['medium-of-exchange', 'cosmos-ecosystem', 'centralized-exchange', 'mobile', 'payments', 'injective-ecosystem', 'layer-1']",30263013692.0,26571560696.0,30000000000.0,False,,36,,,,2024-03-26T17:55:00.000Z,"{'USD': {'price': 0.14696217959000699, 'volume_24h': 33049826.09292166, 'volume_change_24h': 61.6426, 'percent_change_1h': 1.25647343, 'percent_change_24h': -1.08817516, 'percent_change_7d': 14.01066855, 'percent_change_30d': 56.92207064, 'percent_change_60d': 79.27085756, 'percent_change_90d': 47.17424857, 'market_cap': 3905014474.992323, 'market_cap_dominance': 0.1477, 'fully_diluted_market_cap': 4447518453.14, 'tvl': None, 'last_updated': '2024-03-26T17:55:00.000Z'}}"
22974,Bittensor,TAO,bittensor,27,2023-03-06T05:20:00.000Z,"['ai-big-data', 'distributed-computing', 'oracles', 'dao', 'polkadot-ecosystem', 'polychain-capital-portfolio', 'dcg-portfolio', 'open-source', 'generative-ai', 'depin']",21000000.0,6485453.0,6485453.0,False,,37,,,,2024-03-26T17:56:00.000Z,"{'USD': {'price': 586.1040696685168, 'volume_24h': 31325920.87004365, 'volume_change_24h': 19.5865, 'percent_change_1h': 2.37318904, 'percent_change_24h': -5.14368996, 'percent_change_7d': -10.44907296, 'percent_change_30d': 3.96519622, 'percent_change_60d': 76.80168399, 'percent_change_90d': 90.63948543, 'market_cap': 3801150396.943891, 'market_cap_dominance': 0.1438, 'fully_diluted_market_cap': 12308185463.04, 'tvl': None, 'last_updated': '2024-03-26T17:56:00.000Z'}}"
6719,The Graph,GRT,the-graph,447,2020-12-17T00:00:00.000Z,"['ai-big-data', 'enterprise-solutions', 'defi', 'coinbase-ventures-portfolio', 'solana-ecosystem', 'analytics', 'coinfund-portfolio', 'dcg-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'ledgerprime-portfolio', 'multicoin-capital-portfolio', 'parafi-capital', 'polygon-ecosystem', 'fantom-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'spartan-group', 'injective-ecosystem']",,9456389405.241188,10795604234.671812,False,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xc944e90c64b2c07662a292be6244bdf05cda44a7'}",38,,,,2024-03-26T17:56:00.000Z,"{'USD': {'price': 0.39576303611794844, 'volume_24h': 206347123.88962168, 'volume_change_24h': 25.7546, 'percent_change_1h': 0.71047553, 'percent_change_24h': -1.65871648, 'percent_change_7d': 0.50871359, 'percent_change_30d': 35.20181297, 'percent_change_60d': 152.29627302, 'percent_change_90d': 105.73502238, 'market_cap': 3742489381.7318535, 'market_cap_dominance': 0.1416, 'fully_diluted_market_cap': 4272501108.64, 'tvl': None, 'last_updated': '2024-03-26T17:56:00.000Z'}}"
7226,Injective,INJ,injective,344,2020-09-29T00:00:00.000Z,"['pos', 'platform', 'cosmos-ecosystem', 'defi', 'smart-contracts', 'cosmos', 'binance-smart-chain', 'binance-launchpad', 'binance-labs-portfolio', 'cms-holdings-portfolio', 'pantera-capital-portfolio', 'web3', 'injective-ecosystem', 'layer-1']",,93400000.0,100000000.0,False,"{'id': 7226, 'name': 'Injective', 'symbol': 'INJ', 'slug': 'injective', 'token_address': 'inj'}",39,,,,2024-03-26T17:55:00.000Z,"{'USD': {'price': 39.04315850369589, 'volume_24h': 231864417.599112, 'volume_change_24h': 44.262, 'percent_change_1h': 1.53935731, 'percent_change_24h': 2.62805594, 'percent_change_7d': 6.4592196, 'percent_change_30d': 12.51886856, 'percent_change_60d': 14.10153667, 'percent_change_90d': 0.07186831, 'market_cap': 3646631004.2451963, 'market_cap_dominance': 0.138, 'fully_diluted_market_cap': 3904315850.37, 'tvl': None, 'last_updated': '2024-03-26T17:55:00.000Z'}}"
24478,Pepe,PEPE,pepe,353,2023-04-17T06:18:08.000Z,['memes'],420690000000000.0,420689899999994.8,420689899999994.8,False,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x6982508145454ce325ddbe47a25d4ec3d2311933'}",40,420690000000000.0,3351505813.1152396,,2024-03-26T17:55:00.000Z,"{'USD': {'price': 7.966687615857851e-06, 'volume_24h': 942738883.5104231, 'volume_change_24h': -11.1206, 'percent_change_1h': 0.46690611, 'percent_change_24h': -4.7101564, 'percent_change_7d': 11.69404413, 'percent_change_30d': 502.81369507, 'percent_change_60d': 635.690385, 'percent_change_90d': 451.11513065, 'market_cap': 3351505016.4464364, 'market_cap_dominance': 0.1268, 'fully_diluted_market_cap': 3351505813.12, 'tvl': None, 'last_updated': '2024-03-26T17:55:00.000Z'}}"
28752,dogwifhat,WIF,dogwifhat,200,2023-12-19T09:08:50.000Z,"['memes', 'solana-ecosystem', 'doggone-doggerel']",,998920172.89,998920172.89,False,"{'id': 5426, 'name': 'Solana', 'symbol': 'SOL', 'slug': 'solana', 'token_address': 'EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm'}",43,,,,2024-03-26T17:56:00.000Z,"{'USD': {'price': 3.2236669027562104, 'volume_24h': 628425977.8093905, 'volume_change_24h': -9.0491, 'percent_change_1h': 4.52769192, 'percent_change_24h': 15.91181536, 'percent_change_7d': 24.77398681, 'percent_change_30d': 858.02852583, 'percent_change_60d': 783.68303718, 'percent_change_90d': 2148.74691659, 'market_cap': 3220185899.8410044, 'market_cap_dominance': 0.1218, 'fully_diluted_market_cap': 3220185899.84, 'tvl': None, 'last_updated': '2024-03-26T17:56:00.000Z'}}"
20396,Kaspa,KAS,kaspa,111,2022-06-01T00:03:58.000Z,"['mineable', 'dag', 'pow', 'store-of-value', 'polychain-capital-portfolio', 'layer-1']",28700000000.0,23137426172.68778,23137426172.68778,False,,41,,,,2024-03-26T17:55:00.000Z,"{'USD': {'price': 0.13939707971175996, 'volume_24h': 75048395.39119174, 'volume_change_24h': 1.1013, 'percent_change_1h': 0.31538278, 'percent_change_24h': -6.56244219, 'percent_change_7d': 9.35362602, 'percent_change_30d': -18.09418768, 'percent_change_60d': 32.78446707, 'percent_change_90d': 34.69301979, 'market_cap': 3225289640.5191197, 'market_cap_dominance': 0.122, 'fully_diluted_market_cap': 4000696187.73, 'tvl': None, 'last_updated': '2024-03-26T17:55:00.000Z'}}"
4157,THORChain,RUNE,thorchain,175,2019-07-23T00:00:00.000Z,"['cosmos-ecosystem', 'decentralized-exchange-dex-token', 'defi', 'dex', 'multicoin-capital-portfolio', 'exnetwork-capital-portfolio', 'injective-ecosystem']",,335926094.0,417005792.0,False,,42,254843807.0,2445181316.9467196,6.97445397,2024-03-26T17:56:00.000Z,"{'USD': {'price': 9.594823377233254, 'volume_24h': 774345927.1335307, 'volume_change_24h': 62.49, 'percent_change_1h': 1.74450265, 'percent_change_24h': 5.58263455, 'percent_change_7d': 20.77008713, 'percent_change_30d': 78.01145317, 'percent_change_60d': 118.91270023, 'percent_change_90d': 70.78761564, 'market_cap': 3223151539.7338557, 'market_cap_dominance': 0.1219, 'fully_diluted_market_cap': 4001096921.52, 'tvl': 462136757.34612, 'last_updated': '2024-03-26T17:56:00.000Z'}}"
3077,VeChain,VET,vechain,280,2017-08-22T00:00:00.000Z,"['logistics', 'data-provenance', 'iot', 'smart-contracts', 'fenbushi-capital-portfolio']",86712634466.0,72714516834.0,85985041177.0,False,,44,72714516834.0,3204816943.5208364,,2024-03-26T17:55:00.000Z,"{'USD': {'price': 0.04407396326151921, 'volume_24h': 91694061.86876085, 'volume_change_24h': 26.7035, 'percent_change_1h': 0.18217346, 'percent_change_24h': -1.60068916, 'percent_change_7d': 9.43449569, 'percent_change_30d': -1.4123482, 'percent_change_60d': 58.14839068, 'percent_change_90d': 17.34728272, 'market_cap': 3204816943.5208364, 'market_cap_dominance': 0.1212, 'fully_diluted_market_cap': 3821769465.76, 'tvl': None, 'last_updated': '2024-03-26T17:55:00.000Z'}}"
